-117.824394	69	0
-117.818500008	68.910473844	0
-117.812652827	68.8209358729	0
-117.806851904	68.7313865243	0
-117.80109669	68.6418262366	0
-117.795386649	68.5522554481	0
-117.789721249	68.4626745976	0
-117.784099971	68.373084124	0
-117.778522301	68.2834844665	0
-117.772987733	68.1938760646	0
-117.76749577	68.1042593579	0
-117.762045921	68.0146347862	0
-117.756637705	67.9250027896	0
-117.751270646	67.8353638084	0
-117.745944276	67.7457182829	0
-117.740658134	67.6560666538	0
-117.735411767	67.5664093616	0
-117.730204727	67.4767468473	0
-117.725036574	67.3870795518	0
-117.719906874	67.2974079162	0
-117.714815199	67.2077323816	0
-117.709761128	67.1180533892	0
-117.704744247	67.0283713805	0
-117.699764146	66.9386867967	0
-117.694820422	66.8490000793	1
-117.689912679	66.7593116697	1
-117.685040525	66.6696220094	1
-117.680203574	66.5799315399	1
-117.675401447	66.4902407027	1
-117.670633768	66.4005499391	1
-117.665900168	66.3108596907	1
-117.661200284	66.2211703989	1
-117.656533757	66.1314825049	1
-117.651900232	66.0417964501	1
-117.647299361	65.9521126755	1
-117.6427308	65.8624316224	0
-117.63819421	65.7727537318	0
-117.633689256	65.6830794444	0
-117.629215609	65.593409201	0
-117.624772944	65.5037434423	0
-117.620360939	65.4140826087	0
-117.61597928	65.3244271404	0
-117.611627653	65.2347774776	0
-117.607305751	65.1451340602	0
-117.60301327	65.0554973279	0
-117.598749912	64.9658677201	0
-117.594515381	64.8762456761	0
-117.590309385	64.786631635	0
-117.586131638	64.6970260355	0
-117.581981855	64.6074293161	0
-117.577859756	64.5178419149	1
-117.573765067	64.42826427	1
-117.569697513	64.3386968189	1
-117.565656827	64.249139999	1
-117.561642744	64.1595942471	1
-117.557655	64.07006	1
-117.554064828	63.9795717	1
-117.550497454	63.8890742707	1
-117.546952664	63.7985681635	1
-117.543430243	63.7080538298	1
-117.539929981	63.6175317215	1
-117.536451668	63.5270022904	1
-117.532995099	63.4364659887	1
-117.52956007	63.3459232689	1
-117.526146382	63.2553745835	1
-117.522753835	63.1648203852	1
-117.519382235	63.0742611268	1
-117.516031387	62.9836972615	1
-117.512701101	62.8931292423	1
-117.509391188	62.8025575226	1
-117.506101461	62.7119825555	1
-117.502831737	62.6214047947	1
-117.499581834	62.5308246936	1
-117.496351572	62.4402427057	1
-117.493140773	62.3496592848	1
-117.489949263	62.2590748844	1
-117.486776867	62.1684899583	1
-117.483623415	62.0779049601	1
-117.480488738	61.9873203434	1
-117.477372668	61.896736562	1
-117.47427504	61.8061540695	2
-117.471195692	61.7155733193	2
-117.468134461	61.6249947651	2
-117.465091188	61.5344188602	2
-117.462065717	61.4438460581	2
-117.45905789	61.3532768118	2
-117.456067554	61.2627115746	2
-117.453094558	61.1721507994	2
-117.45013875	61.0815949392	2
-117.447199982	60.9910444465	2
-117.444278107	60.9004997739	2
-117.441372981	60.8099613739	2
-117.438484458	60.7194296984	2
-117.435612398	60.6289051995	2
-117.43275666	60.5383883288	2
-117.429917106	60.4478795379	2
-117.427093598	60.357379278	2
-117.424286	60.266888	2
-117.411416656	60.1769574361	2
-117.398615535	60.0870111164	2
-117.385882097	59.9970494936	2
-117.373215809	59.9070730208	2
-117.36061614	59.8170821514	2
-117.348082569	59.7270773393	2
-117.335614578	59.6370590384	2
-117.323211654	59.547027703	2
-117.310873292	59.4569837876	2
-117.298598988	59.366927747	2
-117.286388247	59.2768600363	2
-117.274240577	59.1867811107	2
-117.262155493	59.0966914257	2
-117.250132512	59.0065914368	2
-117.238171158	58.9164816	2
-117.22627096	58.8263623713	2
-117.21443145	58.7362342069	2
-117.202652167	58.6460975631	2
-117.190932654	58.5559528963	2
-117.179272457	58.4658006632	2
-117.167671129	58.3756413205	2
-117.156128225	58.285475325	2
-117.144643306	58.1953031336	3
-117.133215938	58.1051252032	2
-117.121845689	58.014941991	3
-117.110532134	57.924753954	3
-117.09927485	57.8345615494	3
-117.08807342	57.7443652342	3
-117.07692743	57.6541654658	3
-117.065836469	57.5639627012	3
-117.054800132	57.4737573977	3
-117.043818018	57.3835500123	3
-117.032889729	57.2933410023	3
-117.02201487	57.2031308246	3
-117.011193052	57.1129199362	3
-117.000423888	57.0227087941	3
-116.989706995	56.9324978551	3
-116.979041996	56.842287576	3
-116.968428514	56.7520784134	3
-116.957866177	56.6618708237	3
-116.947354619	56.5716652635	3
-116.936893473	56.4814621887	3
-116.92648238	56.3912620556	3
-116.91612098	56.3010653201	3
-116.905808921	56.2108724377	3
-116.895545851	56.120683864	3
-116.885331423	56.0305000543	3
-116.875165291	55.9403214636	3
-116.865047116	55.8501485467	3
-116.854976559	55.7599817583	3
-116.844953285	55.6698215526	3
-116.834976963	55.5796683836	4
-116.825047265	55.489522705	3
-116.815163864	55.3993849704	3
-116.805326438	55.3092556328	3
-116.795534668	55.219135145	3
-116.785788238	55.1290239594	3
-116.776086833	55.0389225282	3
-116.766430143	54.9488313032	3
-116.756817861	54.8587507355	3
-116.74724968	54.7686812763	3
-116.737725299	54.6786233761	3
-116.728244418	54.5885774851	3
-116.718806741	54.4985440529	3
-116.709411972	54.4085235288	3
-116.700059822	54.3185163617	3
-116.69075	54.228523	3
-116.65697798	54.1414038207	3
-116.623340133	54.05425542	3
-116.589835684	53.9670782784	3
-116.556463863	53.8798728764	3
-116.523223907	53.7926396949	3
-116.490115058	53.7053792147	3
-116.457136564	53.6180919168	3
-116.424287678	53.5307782825	3
-116.39156766	53.4434387932	3
-116.358975773	53.3560739301	3
-116.326511288	53.268684175	3
-116.29417348	53.1812700095	3
